code,prefecture,men,women
1,北海道,48210,8560
2,青森県,9410,1820
3,岩手県,10540,1870
4,宮城県,21040,4230
5,秋田県,8210,1360
6,山形県,10120,1560
7,福島県,15470,2790
8,茨城県,19540,3670
9,栃木県,15420,2700
10,群馬県,15580,2610
11,埼玉県,58260,8850
12,千葉県,51420,7540
13,東京都,133220,28630
14,神奈川県,81310,12760
15,新潟県,20520,3000
16,富山県,9700,1310
17,石川県,10410,1380
18,福井県,7700,1050
19,山梨県,7030,1130
20,長野県,19890,3090
21,岐阜県,19110,2610
22,静岡県,31430,5000
23,愛知県,62730,11590
24,三重県,12980,2480
25,滋賀県,11230,1930
26,京都府,20340,4670
27,大阪府,71410,14720
28,兵庫県,45800,8640
29,奈良県,12330,2610
30,和歌山県,6720,1280
31,鳥取県,4790,990
32,島根県,5490,1080
33,岡山県,15990,3250
34,広島県,24010,4780
35,山口県,10850,2310
36,徳島県,5220,1210
37,香川県,7740,1690
38,愛媛県,10800,1840
39,高知県,5480,1400
40,福岡県,37960,8770
41,佐賀県,5970,1160
42,長崎県,9610,2050
43,熊本県,12520,2950
44,大分県,9460,1960
45,宮崎県,8220,1650
46,鹿児島県,11470,2200
47,沖縄県,8330,1210
