code,prefecture,【01】歴代知事の在職年数の男女比,【02】衆参両院の選挙区選出議員の男女比,【03】都道府県議会議員の男女比,【04】女性ゼロ議会,【05】市区町村議会の男女比,【06】市区町村長の男女比
1,北海道,1,16,18,40,18,24
2,青森県,8,11,39,47,46,19
3,岩手県,8,11,5,28,27,25
4,宮城県,8,7,19,19,19,17
5,秋田県,8,11,20,29,38,25
6,山形県,2,1,43,33,34,25
7,福島県,8,4,30,44,45,25
8,茨城県,8,5,31,12,17,21
9,栃木県,8,23,13,1,14,1
10,群馬県,8,23,23,39,33,25
11,埼玉県,8,28,17,7,4,7
12,千葉県,3,31,15,1,7,3
13,東京都,7,10,1,16,1,2
14,神奈川県,8,6,3,1,2,8
15,新潟県,8,2,21,9,20,6
16,富山県,8,33,24,26,39,25
17,石川県,8,33,37,36,41,25
18,福井県,8,7,41,24,31,9
19,山梨県,8,7,46,42,41,25
20,長野県,8,33,11,20,10,23
21,岐阜県,8,23,29,25,24,25
22,静岡県,8,16,14,22,11,17
23,愛知県,8,28,40,11,8,25
24,三重県,8,3,25,10,9,14
25,滋賀県,3,16,4,21,12,25
26,京都府,8,27,2,23,5,5
27,大阪府,3,22,36,1,3,20
28,兵庫県,8,31,6,8,6,12
29,奈良県,8,11,34,46,13,25
30,和歌山県,8,33,34,38,28,15
31,鳥取県,8,33,9,36,22,10
32,島根県,8,33,28,14,43,25
33,岡山県,8,23,8,18,29,13
34,広島県,8,15,38,1,21,25
35,山口県,8,33,7,14,25,10
36,徳島県,8,33,22,35,35,4
37,香川県,8,33,44,1,22,25
38,愛媛県,8,16,27,13,25,25
39,高知県,8,33,12,41,16,16
40,福岡県,8,30,32,17,15,22
41,佐賀県,8,33,42,27,30,25
42,長崎県,8,16,16,32,47,25
43,熊本県,3,33,47,33,44,25
44,大分県,8,33,45,30,40,25
45,宮崎県,8,33,33,45,31,25
46,鹿児島県,8,33,25,43,36,25
47,沖縄県,8,16,10,31,37,25
