code,prefecture,【17】四年制大学進学率の男女差
1,北海道,0.816
2,青森県,0.907
3,岩手県,0.923
4,宮城県,0.888
5,秋田県,0.902
6,山形県,0.918
7,福島県,0.861
8,茨城県,0.918
9,栃木県,0.866
10,群馬県,0.89
11,埼玉県,0.795
12,千葉県,0.865
13,東京都,0.979
14,神奈川県,0.889
15,新潟県,0.863
16,富山県,0.874
17,石川県,0.899
18,福井県,0.839
19,山梨県,0.792
20,長野県,0.864
21,岐阜県,0.887
22,静岡県,0.872
23,愛知県,0.918
24,三重県,0.909
25,滋賀県,0.866
26,京都府,0.955
27,大阪府,0.888
28,兵庫県,0.966
29,奈良県,0.922
30,和歌山県,0.897
31,鳥取県,1
32,島根県,0.838
33,岡山県,0.938
34,広島県,0.915
35,山口県,0.906
36,徳島県,1
37,香川県,0.914
38,愛媛県,0.915
39,高知県,1
40,福岡県,0.931
41,佐賀県,0.89
42,長崎県,0.958
43,熊本県,0.978
44,大分県,0.889
45,宮崎県,0.892
46,鹿児島県,0.828
47,沖縄県,0.966
