code,prefecture,【18】小学校の校長の男女比,【19】中学の校長の男女比,【20】高校の校長の男女比,【21】小中高校の副校長・教頭の男女比,【22】都道府県教育委員会委員の男女比,【23】都道府県教育委員会事務局の管理職の男女比
1,北海道,43,38,47,47,16,43
2,青森県,42,40,15,43,16,7
3,岩手県,34,42,13,21,16,31
4,宮城県,32,5,35,31,16,24
5,秋田県,21,44,36,23,16,40
6,山形県,35,26,4,27,1,36
7,福島県,45,45,44,46,16,47
8,茨城県,11,16,7,15,1,30
9,栃木県,5,16,29,5,16,21
10,群馬県,26,33,14,16,16,19
11,埼玉県,27,14,39,41,16,20
12,千葉県,15,30,45,38,16,34
13,東京都,31,18,6,25,1,18
14,神奈川県,4,3,2,8,1,12
15,新潟県,40,36,38,44,16,35
16,富山県,3,2,9,2,16,13
17,石川県,1,1,5,3,43,45
18,福井県,8,31,17,13,43,33
19,山梨県,39,46,30,28,16,25
20,長野県,25,27,16,30,1,9
21,岐阜県,14,19,41,10,1,3
22,静岡県,24,22,3,21,46,10
23,愛知県,19,23,32,20,1,44
24,三重県,13,23,33,6,1,15
25,滋賀県,16,9,25,12,16,29
26,京都府,18,11,23,24,16,27
27,大阪府,23,8,11,35,16,42
28,兵庫県,30,29,37,33,16,17
29,奈良県,27,32,33,32,16,1
30,和歌山県,12,10,10,9,43,3
31,鳥取県,6,47,43,18,1,2
32,島根県,47,21,8,36,1,6
33,岡山県,9,15,12,14,16,16
34,広島県,2,6,27,4,16,5
35,山口県,29,34,21,25,1,41
36,徳島県,38,7,1,7,16,8
37,香川県,10,41,17,11,1,22
38,愛媛県,37,42,25,40,1,26
39,高知県,7,4,30,1,16,11
40,福岡県,17,13,17,17,16,23
41,佐賀県,20,12,17,19,16,14
42,長崎県,46,27,24,45,16,28
43,熊本県,33,39,42,34,46,38
44,大分県,36,20,45,37,16,46
45,宮崎県,44,37,21,39,1,37
46,鹿児島県,41,35,28,42,1,38
47,沖縄県,22,25,40,29,16,32
